school,season,url,status,reason
Framingham State University,2023,https://www.fsurams.com/sports/bsb/2022-23/teams/framinghamst,unresolved,no working URL pattern found on live site
Framingham State University,2024,https://www.fsurams.com/sports/bsb/2023-24/teams/framinghamst,unresolved,no working URL pattern found on live site
Framingham State University,2025,https://www.fsurams.com/sports/bsb/2024-25/teams/framinghamst,unresolved,no working URL pattern found on live site
Framingham State University,2026,https://www.fsurams.com/sports/bsb/2025-26/teams/framinghamst,unresolved,no working URL pattern found on live site
Franciscan University of Steubenville,2022,https://athletics.franciscan.edu/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Franciscan University of Steubenville,2023,https://athletics.franciscan.edu/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Franciscan University of Steubenville,2024,https://athletics.franciscan.edu/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Franciscan University of Steubenville,2025,https://athletics.franciscan.edu/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Franciscan University of Steubenville,2026,https://athletics.franciscan.edu/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Greensboro College,2022,https://gcpride.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Greensboro College,2023,https://gcpride.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Greensboro College,2024,https://gcpride.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Greensboro College,2025,https://gcpride.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Greensboro College,2026,https://gcpride.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Greenville University,2022,https://gupanthers.com/sports/bsb/2021-22/teams/greenville,unresolved,no working URL pattern found on live site
Greenville University,2023,https://gupanthers.com/sports/bsb/2022-23/teams/greenville,unresolved,no working URL pattern found on live site
Greenville University,2024,https://gupanthers.com/sports/bsb/2023-24/teams/greenville,unresolved,no working URL pattern found on live site
Greenville University,2025,https://gupanthers.com/sports/bsb/2024-25/teams/greenville,unresolved,no working URL pattern found on live site
Greenville University,2026,https://gupanthers.com/sports/bsb/2025-26/teams/greenville,unresolved,no working URL pattern found on live site
Hartwick College,2022,https://www.hartwickhawks.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Hartwick College,2023,https://www.hartwickhawks.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Hartwick College,2024,https://www.hartwickhawks.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Hartwick College,2025,https://www.hartwickhawks.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Hartwick College,2026,https://www.hartwickhawks.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Hobart College,2022,https://hwsathletics.com/sports/baseball/stats/2022,http_or_parse,pattern found but 2022 page missing/empty: https://hwsathletics.com/sports/baseball/stats/2022
Huntingdon College,2022,https://huntingdonhawks.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Huntingdon College,2023,https://huntingdonhawks.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Huntingdon College,2024,https://huntingdonhawks.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Huntingdon College,2025,https://huntingdonhawks.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Huntingdon College,2026,https://huntingdonhawks.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Johnson & Wales University-Charlotte,2022,,no_url,no URL (program did not exist that season or URL unknown)
Johnson & Wales University-Charlotte,2023,,no_url,no URL (program did not exist that season or URL unknown)
Johnson & Wales University-Charlotte,2024,,no_url,no URL (program did not exist that season or URL unknown)
Johnson & Wales University-Charlotte,2025,,no_url,no URL (program did not exist that season or URL unknown)
Johnson & Wales University-Charlotte,2026,https://jwucharlotteathletics.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Juniata College,2022,https://juniatasports.net/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Juniata College,2023,https://juniatasports.net/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Juniata College,2024,https://juniatasports.net/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Juniata College,2025,https://juniatasports.net/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Juniata College,2026,https://juniatasports.net/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Knox College,2022,https://knoxprairiefire.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Knox College,2023,https://knoxprairiefire.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Knox College,2024,https://knoxprairiefire.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Knox College,2025,https://knoxprairiefire.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Knox College,2026,https://knoxprairiefire.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Lasell University,2022,https://laserpride.lasell.edu/sports/bsb/2021-22/teams/lasell,unresolved,no working URL pattern found on live site
Lasell University,2023,https://laserpride.lasell.edu/sports/bsb/2022-23/teams/lasell,unresolved,no working URL pattern found on live site
Lasell University,2024,https://laserpride.lasell.edu/sports/bsb/2023-24/teams/lasell,unresolved,no working URL pattern found on live site
Lasell University,2025,https://laserpride.lasell.edu/sports/bsb/2024-25/teams/lasell,unresolved,no working URL pattern found on live site
Lasell University,2026,https://laserpride.lasell.edu/sports/bsb/2025-26/teams/lasell,unresolved,no working URL pattern found on live site
Lesley University,2024,https://lesleyathletics.com/sports/bsb/2023-24/teams/lesley,unresolved,no working URL pattern found on live site
Linfield University,2022,https://linfieldsports.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Linfield University,2023,https://linfieldsports.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Linfield University,2024,https://linfieldsports.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Linfield University,2025,https://linfieldsports.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Linfield University,2026,https://linfieldsports.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Lycoming College,2022,https://lycomingathletics.com/sports/baseball/stats/2022,http_or_parse,pattern found but 2022 page missing/empty: https://lycomingathletics.com/sports/baseball/stats/2022
MCLA (Massachusetts College of Liberal Arts),2022,https://athletics.mcla.edu/sports/bsb/2021-22/teams/mcla,unresolved,no working URL pattern found on live site
MCLA (Massachusetts College of Liberal Arts),2023,https://athletics.mcla.edu/sports/bsb/2022-23/teams/mcla,unresolved,no working URL pattern found on live site
MCLA (Massachusetts College of Liberal Arts),2024,https://athletics.mcla.edu/sports/bsb/2023-24/teams/mcla,unresolved,no working URL pattern found on live site
MCLA (Massachusetts College of Liberal Arts),2025,https://athletics.mcla.edu/sports/bsb/2024-25/teams/mcla,unresolved,no working URL pattern found on live site
MCLA (Massachusetts College of Liberal Arts),2026,https://athletics.mcla.edu/sports/bsb/2025-26/teams/mcla,unresolved,no working URL pattern found on live site
Marian University (WI),2022,https://mariansabres.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Marian University (WI),2023,https://mariansabres.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Marian University (WI),2024,https://mariansabres.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Marian University (WI),2025,https://mariansabres.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
